straat;geometry;huisnr;karakter;eigenaar;capaciteit;openbaar;ondergrond;bestemming;status;urid;naam;naamid;bezettingsinfo;bronid;betrokkenadressen;timestampbron;geo_point_2d
Koningin Maria Hendrikaplein;"{""coordinates"": [[[3.710435196537565, 51.03717844981631], [3.710423937053812, 51.03719438550232], [3.710384866627119, 51.03718341167808], [3.710396161145226, 51.03716742684413], [3.710435196537565, 51.03717844981631]]], ""type"": ""Polygon""}";57C;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21494;;False;False;17028407_1;Koningin Maria Hendrikaplein 57C;2023-10-19T12:57:11Z;51.03718091564243, 3.710410030298385
Land van Rodelaan;"{""coordinates"": [[[3.757662380766776, 51.035578683759304], [3.75764664318136, 51.035593676622014], [3.7576169197252, 51.03558127380054], [3.757632656412352, 51.03556628206364], [3.757662380766776, 51.035578683759304]]], ""type"": ""Polygon""}";10A;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21277;;False;False;17028368_1;Land van Rodelaan 10A;2025-08-06T11:25:13Z;51.035579979141595, 3.757639650185138
Braemkasteelstraat;"{""coordinates"": [[[3.762314166328456, 51.03740927580926], [3.76232614356609, 51.037412178122494], [3.762315918941526, 51.037428956517076], [3.762303941703892, 51.03742605476981], [3.762314166328456, 51.03740927580926]]], ""type"": ""Polygon""}";26;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Parkeerstrook;Actief;mob/ftsst21454;;False;False;17028470_1;Braemkasteelstraat 26;2023-06-26T12:10:24Z;51.03741911626247, 3.762315042627034
Kazemattenstraat;"{""coordinates"": [[[3.737796407753069, 51.05536382123761], [3.737768699218132, 51.05535954681209], [3.737777173924549, 51.055337717873805], [3.737804881561157, 51.05534199230135], [3.737796407753069, 51.05536382123761]]], ""type"": ""Polygon""}";18;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21107;;False;False;17028118_1;Kazemattenstraat 18;2025-07-31T11:22:09Z;51.055350769609646, 3.7377867905786117
Braemkasteelstraat;"{""coordinates"": [[[3.762290211853055, 51.037403471747155], [3.762302189090755, 51.037406374060716], [3.762291964466192, 51.037423153022324], [3.762279987228492, 51.037420251274646], [3.762290211853055, 51.037403471747155]]], ""type"": ""Polygon""}";26;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Parkeerstrook;Actief;mob/ftsst21456;;False;False;17028487_1;Braemkasteelstraat 26;2023-06-26T12:10:24Z;51.03741331248403, 3.7622910881516676
Botestraat;"{""coordinates"": [[[3.703345529720192, 51.08807286216552], [3.703336752281553, 51.08808043276525], [3.703307007265862, 51.08806634164198], [3.703315915858544, 51.08805881223051], [3.703345529720192, 51.08807286216552]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21467;;False;False;17028393_1;Botestraat 98a;2023-06-26T12:10:22Z;51.08806961255007, 3.7033262939965037
Botestraat;"{""coordinates"": [[[3.703386636627638, 51.08799856165963], [3.703395885681754, 51.087991219005644], [3.703424463785881, 51.08800475266769], [3.703415673770884, 51.088012336820704], [3.703386636627638, 51.08799856165963]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21475;;False;False;17028401_1;Botestraat 98a;2023-06-26T12:10:22Z;51.08800173016456, 3.7034056574020946
Spaanskasteelplein;"{""coordinates"": [[[3.738325263028818, 51.054218802030796], [3.738352922156448, 51.05422319965905], [3.738344202209957, 51.054244990160754], [3.738316543082393, 51.05424059196986], [3.738325263028818, 51.054218802030796]]], ""type"": ""Polygon""}";19;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21112;;False;False;17028167_1;Spaanskasteelplein 19;2025-07-31T07:48:20Z;51.05423189597791, 3.7383347326698004
Koningin Maria Hendrikaplein;"{""coordinates"": [[[3.710279055866471, 51.037134357347036], [3.710267656245504, 51.03715048962488], [3.710228586717142, 51.03713951579021], [3.710240521734046, 51.03712347501844], [3.710279055866471, 51.037134357347036]]], ""type"": ""Polygon""}";57C;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21490;;False;False;17028403_1;Koningin Maria Hendrikaplein 57C;2023-10-19T12:57:11Z;51.037136973922, 3.7102539327249255
Sint-Pietersnieuwstraat;"{""coordinates"": [[[3.726505980613644, 51.04478541500468], [3.726478240637674, 51.0447877944323], [3.726471765581129, 51.04475779601419], [3.726499470522811, 51.0447552544924], [3.726505980613644, 51.04478541500468]]], ""type"": ""Polygon""}";198;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst21182;Vooruit;True;False;17028240_1;Sint-Pietersnieuwstraat 198;2023-06-26T12:10:06Z;51.044771563885085, 3.7264888767894027
Koophandelsplein;"{""coordinates"": [[[3.720957220054314, 51.05032156166437], [3.720974836915325, 51.05033570155517], [3.720946797800389, 51.050349584496615], [3.720929180939311, 51.050335443480606], [3.720957220054314, 51.05032156166437]]], ""type"": ""Polygon""}";23;Gent;Stad Gent;5;Ja;Betontegels;Voetpad;Niet-actief;mob/ftsst21482;;False;False;17028500_1;Koophandelsplein 23/24;2024-04-24T08:31:10Z;51.05033557289257, 3.7209520088577275
Hundelgemsesteenweg;"{""coordinates"": [[[3.740771394412121, 51.03372393697861], [3.740726599920457, 51.03373780286722], [3.740714027998078, 51.033721662622256], [3.740758822489675, 51.03370779729379], [3.740771394412121, 51.03372393697861]]], ""type"": ""Polygon""}";145;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst21152;;False;False;17028259_1;Hundelgemsesteenweg 145;2025-04-02T12:29:23Z;51.03372279998333, 3.7407427111089255
Antwerpenplein;"{""coordinates"": [[[3.740978251269212, 51.057708559150036], [3.740972756274634, 51.05772619971581], [3.740937763301033, 51.0577218741275], [3.740943259193942, 51.05770423243085], [3.740978251269212, 51.057708559150036]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21186;;False;False;17028286_1;Antwerpenplein 1;2025-05-26T08:34:19Z;51.05771521635369, 3.7409580073051463
Ter Linden;"{""coordinates"": [[[3.710960599587668, 51.00326713079993], [3.710931421408945, 51.00328001880646], [3.710915082850538, 51.00326528909054], [3.71094426102926, 51.00325240107991], [3.710960599587668, 51.00326713079993]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;4;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21502;;False;False;17028510_1;Ter Linden 29;2023-06-26T12:10:26Z;51.00326620994388, 3.710937841219415
Braemkasteelstraat;"{""coordinates"": [[[3.762266256479391, 51.037397668249156], [3.762278234615355, 51.03740056943336], [3.762268009990792, 51.03741734896191], [3.762256031854827, 51.03741444777876], [3.762266256479391, 51.037397668249156]]], ""type"": ""Polygon""}";26;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Parkeerstrook;Actief;mob/ftsst21458;;False;False;17028489_1;Braemkasteelstraat 26;2023-06-26T12:10:24Z;51.03740750860571, 3.7622671332350768
Nadine Crappéstraat;"{""coordinates"": [[[3.69025653254986, 51.05434370682101], [3.690249231043186, 51.05436570280422], [3.690221308709205, 51.05436202005597], [3.69022861021588, 51.05434002407104], [3.69025653254986, 51.05434370682101]]], ""type"": ""Polygon""}";12;Gent;Stad Gent;6;Ja;Ineengrijpende Betonstenen;Voetpad;Actief;mob/ftsst21138;;False;False;17028243_1;Nadine Crappéstraat 12;2023-09-18T15:37:14Z;51.054352863438, 3.69023892062937
Kleinkouterken;"{""coordinates"": [[[3.671257444565093, 51.02698407496401], [3.671257357428508, 51.02698409925897], [3.67126894210241, 51.02699998760085], [3.671236566819551, 51.027009376754606], [3.671225115096353, 51.026993670345675], [3.671257353835253, 51.026983949534156], [3.671257444565093, 51.02698407496401]]], ""type"": ""Polygon""}";11;Gent;Stad Gent;5;Ja;Andere materialen;Andere;Actief;mob/ftsst21517;;False;False;17028525_1;Kleinkouterken 11;2023-06-26T12:10:27Z;51.026996737001326, 3.6712470248661653
Karel Van Hulthemstraat;"{""coordinates"": [[[3.723018669476697, 51.04411844018965], [3.722982647932152, 51.04412700805915], [3.722973838154151, 51.04411228962182], [3.723009857902101, 51.04410372118481], [3.723018669476697, 51.04411844018965]]], ""type"": ""Polygon""}";36;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21527;;False;False;17028535_1;Karel Van Hulthemstraat 36;2023-06-26T12:10:28Z;51.044115364765034, 3.7229962535698724
Opgeëistenlaan;"{""coordinates"": [[[3.717348222230683, 51.0647510129583], [3.717359276000233, 51.06474533200399], [3.71737764654781, 51.064759613706194], [3.717366586490012, 51.06476517892835], [3.717348222230683, 51.0647510129583]]], ""type"": ""Polygon""}";451;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21250;;False;False;17028359_1;Opgeeistenlaan 451/457;2025-09-29T08:55:06Z;51.06475527277084, 3.7173629255055323
Afsneedorp;"{""coordinates"": [[[3.66806947723367, 51.03103786127495], [3.668059505934022, 51.031054671355], [3.668025107645166, 51.03104697504523], [3.668035490373219, 51.031030256484236], [3.66806947723367, 51.03103786127495]]], ""type"": ""Polygon""}";20;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21140;;False;False;17028248_1;Afsneedorp 20;2023-06-26T12:10:10Z;51.0310424578201, 3.668047385018469
Braemkasteelstraat;"{""coordinates"": [[[3.76233812080379, 51.03741508043556], [3.76235009804149, 51.037417981618674], [3.762339874315257, 51.037434760011145], [3.762327896179227, 51.037431858264206], [3.76233812080379, 51.03741508043556]]], ""type"": ""Polygon""}";26;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Parkeerstrook;Actief;mob/ftsst21452;;False;False;17028453_1;Braemkasteelstraat 26;2023-06-26T12:10:24Z;51.03742492021306, 3.76233899727591
Ter Linden;"{""coordinates"": [[[3.711075901947648, 51.00325394149104], [3.71110508012637, 51.00324105347726], [3.711121418684779, 51.00325578320088], [3.711092240506056, 51.00326867121056], [3.711075901947648, 51.00325394149104]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;4;Ja;Materiaal Beton;Voetpad;Actief;mob/ftsst21506;;False;False;17028514_1;Ter Linden 29;2023-06-26T12:10:26Z;51.003254862344605, 3.711098660316525
Kleinkouterken;"{""coordinates"": [[[3.671257353835253, 51.026983949534156], [3.671225115096353, 51.026993670345675], [3.6712246569555, 51.02699304263159], [3.671224745888746, 51.026993017206664], [3.671213184571035, 51.02697707066744], [3.671245588599934, 51.0269677238821], [3.671257353835253, 51.026983949534156]]], ""type"": ""Polygon""}";11;Gent;Stad Gent;5;Ja;Andere materialen;Andere;Actief;mob/ftsst21519;;False;False;17028527_1;Kleinkouterken 11;2023-06-26T12:10:27Z;51.026980615353196, 3.6712352738462632
Opgeëistenlaan;"{""coordinates"": [[[3.717006168025028, 51.064984817242795], [3.716995240917867, 51.06499049478052], [3.716972486591722, 51.06497319062337], [3.71698347837754, 51.064967479211354], [3.717006168025028, 51.064984817242795]]], ""type"": ""Polygon""}";451;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21261;;False;False;17028309_1;Opgeeistenlaan 451/457;2025-09-29T08:54:43Z;51.06497898691409, 3.7169893322756247
Oude Beestenmarkt;"{""coordinates"": [[[3.731101833472446, 51.05396660006093], [3.731085811121016, 51.05398147234537], [3.731051592495247, 51.05396682931709], [3.731067424403759, 51.053951874586055], [3.731101833472446, 51.05396660006093]]], ""type"": ""Polygon""}";17;Gent;Stad Gent;5;Ja;Natuursteen Platienen;Voetpad;Actief;mob/ftsst21236;;False;False;17028321_1;Oude Beestenmarkt 17;2025-05-15T14:06:13Z;51.05396668710122, 3.7310766726415237
Opgeëistenlaan;"{""coordinates"": [[[3.717539864321801, 51.06492086769494], [3.717550969295387, 51.06491513030776], [3.7175689670421, 51.06492912347937], [3.717557874644941, 51.06493481062104], [3.717539864321801, 51.06492086769494]]], ""type"": ""Polygon""}";451;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21161;;False;False;17028263_1;Opgeeistenlaan 451/457;2025-09-29T08:55:12Z;51.06492497725263, 3.7175544142832058
Botestraat;"{""coordinates"": [[[3.703415673770884, 51.088012336820704], [3.703406908908604, 51.088019914765695], [3.703377728034956, 51.08800609108091], [3.703386636627638, 51.08799856165963], [3.703415673770884, 51.088012336820704]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21440;;False;False;17028387_1;Botestraat 98a;2023-06-26T12:10:21Z;51.08800922695003, 3.703396729521287
Ter Linden;"{""coordinates"": [[[3.71097552689277, 51.00332022321351], [3.710946348713981, 51.00333311120529], [3.710930010155639, 51.00331838150624], [3.710959188334361, 51.00330549351036], [3.71097552689277, 51.00332022321351]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;4;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21507;;False;False;17028515_1;Ter Linden 29;2023-06-26T12:10:26Z;51.00331930235851, 3.7109527685245047
Koningsdonkstraat;"{""coordinates"": [[[3.782022585621102, 51.03355398191703], [3.782021266894229, 51.03359101122529], [3.781992762451997, 51.03359060674344], [3.781994081178802, 51.033553577434894], [3.782022585621102, 51.03355398191703]]], ""type"": ""Polygon""}";130;Andere;Privé;10;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst21487;;False;False;17028505_1;Koningsdonkstraat 130;2023-06-26T12:10:25Z;51.033572294330156, 3.7820076740365143
Opgeëistenlaan;"{""coordinates"": [[[3.717466602218852, 51.06471388604894], [3.717455548449234, 51.064719567007145], [3.717437263241649, 51.06470542868556], [3.717448429300637, 51.06469979627603], [3.717466602218852, 51.06471388604894]]], ""type"": ""Polygon""}";451;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21244;;False;False;17028353_1;Opgeeistenlaan 451/457;2025-09-29T08:55:06Z;51.06470966846764, 3.7174519525286223
Afsneedorp;"{""coordinates"": [[[3.668035490373219, 51.031030256484236], [3.66804560540327, 51.031013972928875], [3.668079234734276, 51.03102141162692], [3.66806947723367, 51.03103786127495], [3.668035490373219, 51.031030256484236]]], ""type"": ""Polygon""}";20;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21143;;False;False;17028249_1;Afsneedorp 20;2023-06-26T12:10:10Z;51.03102589478986, 3.6680574551713105
Braemkasteelstraat;"{""coordinates"": [[[3.762398007890555, 51.03742958691419], [3.762409985128189, 51.03743248866128], [3.762399760503625, 51.037449266483634], [3.762387783265992, 51.03744636530247], [3.762398007890555, 51.03742958691419]]], ""type"": ""Polygon""}";26;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Parkeerstrook;Actief;mob/ftsst21447;;False;False;17028418_1;Braemkasteelstraat 26;2023-06-26T12:10:23Z;51.03743942679821, 3.762398884189133
Koophandelsplein;"{""coordinates"": [[[3.721027366799863, 51.05025497948706], [3.721041209838401, 51.050234269103406], [3.721067493645342, 51.05024125068466], [3.721053649708473, 51.05026195993573], [3.721027366799863, 51.05025497948706]]], ""type"": ""Polygon""}";23;Gent;Stad Gent;5;Ja;Betontegels;Voetpad;Niet-actief;mob/ftsst21476;;False;False;17028494_1;Koophandelsplein 23/24;2025-02-10T07:51:18Z;51.05024811468909, 3.7210474299794316
Kleinkouterken;"{""coordinates"": [[[3.67128995369692, 51.026974120805676], [3.671257713161359, 51.0269838410543], [3.67125731251272, 51.02698329356999], [3.671257402344297, 51.02698326814502], [3.671245873365881, 51.026967366237436], [3.671278276496517, 51.026958018320116], [3.67128995369692, 51.026974120805676]]], ""type"": ""Polygon""}";11;Gent;Stad Gent;5;Ja;Andere materialen;Andere;Actief;mob/ftsst21523;;False;False;17028531_1;Kleinkouterken 11;2023-06-26T12:10:28Z;51.02697084825337, 3.6712679176053395
Koningsdonkstraat;"{""coordinates"": [[[3.782073605437652, 51.033555494205686], [3.782072431339579, 51.0335923444335], [3.782043922405693, 51.03359198345043], [3.782045099198759, 51.03355513322232], [3.782073605437652, 51.033555494205686]]], ""type"": ""Polygon""}";130;Andere;Privé;10;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst21488;;False;False;17028506_1;Koningsdonkstraat 130;2023-06-26T12:10:25Z;51.03357373911815, 3.782058764583947
Krijgslaan;"{""coordinates"": [[[3.712296500416371, 51.02695495206722], [3.712324397597499, 51.02695865789962], [3.712317052073433, 51.02698064824323], [3.712289153993975, 51.02697694184759], [3.712296500416371, 51.02695495206722]]], ""type"": ""Polygon""}";248;Gent;Stad Gent;5;Ja;;Onbekend / Niet op o;Actief;mob/ftsst21296;;False;False;17028382_1;Krijgslaan 248;2023-06-26T12:10:20Z;51.02696780008873, 3.7123067760424275
Botestraat;"{""coordinates"": [[[3.703371713814122, 51.08805025982423], [3.703363098970558, 51.08805768541426], [3.703333548889236, 51.088043906881154], [3.703333188664867, 51.088043738169006], [3.703342097257483, 51.08803620875381], [3.703371713814122, 51.08805025982423]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21470;;False;False;17028396_1;Botestraat 98a;2023-06-26T12:10:22Z;51.08804695107129, 3.7033524699128817
Koningin Maria Hendrikaplein;"{""coordinates"": [[[3.710552301816319, 51.03721152041165], [3.710541147435427, 51.03722730695949], [3.710502077008801, 51.03721633314304], [3.710513266423979, 51.03720049744737], [3.710552301816319, 51.03721152041165]]], ""type"": ""Polygon""}";57C;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21497;;False;False;17028410_1;Koningin Maria Hendrikaplein 57C;2023-10-19T12:57:11Z;51.03721391164587, 3.7105271880340553
Ter Linden;"{""coordinates"": [[[3.711063062327267, 51.003281559216674], [3.711033884148545, 51.00329444721919], [3.711017544691873, 51.003279717507866], [3.711046723768925, 51.00326682950124], [3.711063062327267, 51.003281559216674]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;4;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21510;;False;False;17028518_1;Ter Linden 29;2023-06-26T12:10:27Z;51.00328063835496, 3.7110403036623683
Botestraat;"{""coordinates"": [[[3.703398109012103, 51.088027515843905], [3.703389305522349, 51.08803507798725], [3.703359912646253, 51.08802114991983], [3.703368820340605, 51.08801362050101], [3.703398109012103, 51.088027515843905]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21473;;False;False;17028399_1;Botestraat 98a;2023-06-26T12:10:22Z;51.08802434137986, 3.7033790311025774
Karel Van Hulthemstraat;"{""coordinates"": [[[3.723072887295713, 51.044186554990894], [3.72308643299188, 51.0442092742104], [3.723063073201223, 51.04421480858033], [3.723049527505058, 51.04419209105789], [3.723072887295713, 51.044186554990894]]], ""type"": ""Polygon""}";36;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21536;;False;False;17028544_1;Karel Van Hulthemstraat 36;2023-06-26T12:10:29Z;51.044200682107835, 3.7230679803330395
Hoogpoort;"{""coordinates"": [[[3.726295720039949, 51.054422340408316], [3.726265098268558, 51.05443403348469], [3.726250343439966, 51.05441864750063], [3.726281095467136, 51.05440690642384], [3.726295720039949, 51.054422340408316]]], ""type"": ""Polygon""}";60;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21188;;False;False;17028288_1;Hoogpoort 60/62;2025-05-15T14:03:11Z;51.05442047663483, 3.7262730589451345
Land van Rodelaan;"{""coordinates"": [[[3.757560819037399, 51.035537008083395], [3.757545081451916, 51.035552001524486], [3.757515357995822, 51.035539599256765], [3.757531094682975, 51.035524606941465], [3.757560819037399, 51.035537008083395]]], ""type"": ""Polygon""}";10A;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21274;;False;False;17028365_1;Land van Rodelaan 10A;2025-08-06T11:25:12Z;51.035538304031746, 3.7575380884557448
Sint-Pietersnieuwstraat;"{""coordinates"": [[[3.726480209744778, 51.044669921405976], [3.726486746785123, 51.04470020509656], [3.726459006809154, 51.04470258452856], [3.726452470667139, 51.04467230083954], [3.726480209744778, 51.044669921405976]]], ""type"": ""Polygon""}";198;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst21183;Vooruit;True;False;17028281_1;Sint-Pietersnieuwstraat 198;2023-06-26T12:10:11Z;51.04468625304735, 3.726469608524753
Koningin Maria Hendrikaplein;"{""coordinates"": [[[3.710396161145226, 51.03716742684413], [3.710384866627119, 51.03718341167808], [3.710345796200493, 51.037172437286344], [3.710357125752819, 51.03715640330447], [3.710396161145226, 51.03716742684413]]], ""type"": ""Polygon""}";57C;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21493;;False;False;17028406_1;Koningin Maria Hendrikaplein 57C;2023-10-19T12:57:11Z;51.037169916969034, 3.7103709774197364
Krijgslaan;"{""coordinates"": [[[3.712247597928914, 51.02694587986727], [3.712275494211778, 51.026949585700386], [3.712268149585975, 51.02697157604835], [3.712240250608186, 51.02696787021695], [3.712247597928914, 51.02694587986727]]], ""type"": ""Polygon""}";248;Gent;Stad Gent;5;Ja;;Onbekend / Niet op o;Actief;mob/ftsst21295;;False;False;17028381_1;Krijgslaan 248;2023-06-26T12:10:20Z;51.026958728122864, 3.7122578729906914
Leebeekstraat;"{""coordinates"": [[[3.704478672704426, 51.019778051473914], [3.704500024760436, 51.01976004836033], [3.704520291651551, 51.019768999342695], [3.704499989726149, 51.01978746695434], [3.704478672704426, 51.019778051473914]]], ""type"": ""Polygon""}";7;Gent;Stad Gent;5;Ja;Materiaal Beton;Fietspad/voetpad;Gepland verwijderd;mob/ftsst21211;;False;False;17028342_1;Leebeekstraat 7;2025-03-21T10:09:10Z;51.019773718340375, 3.704499657052156
Botestraat;"{""coordinates"": [[[3.703327917350767, 51.08808804850412], [3.703319150691892, 51.08809561233033], [3.703289191877159, 51.08808140046129], [3.703298099571511, 51.088073871052224], [3.703327917350767, 51.08808804850412]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21465;;False;False;17028391_1;Botestraat 98a;2023-06-26T12:10:22Z;51.0880847322589, 3.703308580095115
Blandijnberg;"{""coordinates"": [[[3.725633111008239, 51.04402720894238], [3.725611733799445, 51.04402765569244], [3.725610551616531, 51.044005195623306], [3.725631928825326, 51.04400474887302], [3.725633111008239, 51.04402720894238]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21233;;False;False;17028348_1;Blandijnberg 2;2023-06-26T12:10:18Z;51.044016202282776, 3.7256218313124028
Ter Linden;"{""coordinates"": [[[3.711033884148545, 51.00329444721919], [3.711004705969823, 51.00330733521814], [3.710988366513083, 51.00329260551091], [3.711017544691873, 51.003279717507866], [3.711033884148545, 51.00329444721919]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;4;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21509;;False;False;17028517_1;Ter Linden 29;2023-06-26T12:10:27Z;51.00329352636369, 3.7110111253311366
Kazemattenstraat;"{""coordinates"": [[[3.737806492240486, 51.0553383762599], [3.737779063979909, 51.055333437234665], [3.737788857413132, 51.05531182849908], [3.737816285673708, 51.05531676752658], [3.737806492240486, 51.0553383762599]]], ""type"": ""Polygon""}";20;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21108;;False;False;17028126_1;Kazemattenstraat 20;2025-07-31T11:22:09Z;51.05532510237995, 3.737797674826615
Koningin Astridlaan;"{""coordinates"": [[[3.714894189266177, 51.03623284392828], [3.714869651784193, 51.03623569039142], [3.714862658399656, 51.036211726770205], [3.71488716803393, 51.03620878653439], [3.714894189266177, 51.03623284392828]]], ""type"": ""Polygon""}";94;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21566;;False;False;17028576_1;Koningin Astridlaan 94;2023-09-28T16:15:36Z;51.0362222610018, 3.714878424868089
Schoolkaai;"{""coordinates"": [[[3.736596890947429, 51.0560680243503], [3.736602339229625, 51.056045816869215], [3.736623481079847, 51.056047877823296], [3.736618033695982, 51.056070086432705], [3.736596890947429, 51.0560680243503]]], ""type"": ""Polygon""}";23;Nietje - Buitenmaats;Stad Gent;2;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst21777;;False;False;17028800_1;Schoolkaai 23;2024-04-22T17:12:04Z;51.05605795147719, 3.736610186294214
Blandijnberg;"{""coordinates"": [[[3.724952776419402, 51.044021834950875], [3.724954096942868, 51.044044292187984], [3.724929161507238, 51.04404487505258], [3.724927840983771, 51.04402241838056], [3.724952776419402, 51.044021834950875]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21605;;False;False;17028619_1;Blandijnberg 2;2025-08-28T13:11:22Z;51.044033355139284, 3.724940969015389
Koning Willem I-kaai;"{""coordinates"": [[[3.731790365188264, 51.05760074789282], [3.731764615878929, 51.05759301082205], [3.731779962697276, 51.05757272606045], [3.731805712006544, 51.057580462569966], [3.731790365188264, 51.05760074789282]]], ""type"": ""Polygon""}";5W;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21784;;False;False;17028805_1;Koning Willem I-kaai 5W;2023-10-19T12:48:19Z;51.05758673687357, 3.7317851639739383
Wolfputstraat;"{""coordinates"": [[[3.764337459809124, 51.093167763719336], [3.764351823870579, 51.09314236039556], [3.764378961076963, 51.09314794025889], [3.764364343690659, 51.09317379211236], [3.764337459809124, 51.093167763719336]]], ""type"": ""Polygon""}";92;Gent;Stad Gent;5;Ja;KWS;Voetpad;Actief;mob/ftsst21541;;False;False;17028549_1;Wolfputstraat 92;2023-06-26T12:10:29Z;51.09315797260612, 3.7643581864899245
Ossenstraat;"{""coordinates"": [[[3.739258266757655, 51.05159856404776], [3.739255262791362, 51.05160727735551], [3.739223895418247, 51.05160275976258], [3.739227018860488, 51.05159398885469], [3.739258266757655, 51.05159856404776]]], ""type"": ""Polygon""}";50;Nietje - Gewone fiet;Stad Gent;2;Ja;Betontegels;Voetpad;Actief;mob/ftsst21789;;False;False;17028810_1;Ossenstraat 50/52;2024-04-22T18:56:10Z;51.05160064661276, 3.7392410889017937
Bagattenstraat;"{""coordinates"": [[[3.722752619930596, 51.047492998058374], [3.722717060120094, 51.047491390217246], [3.722719102889026, 51.04747345660061], [3.722754533342147, 51.047475060489155], [3.722754662699529, 51.047475066701416], [3.722752619930596, 51.047492998058374]]], ""type"": ""Polygon""}";43;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21669;;False;False;17028683_1;Bagattenstraat 43;2025-04-02T08:02:30Z;51.047483227781136, 3.7227358611075685
